id,ARRAY_PARTITION_FACTOR,INIT_INTERVAL_HOR,INIT_INTERVAL_VER,ACCELERATOR_1_UNCERTAINTY,DATA_MOVER_CLOCK,ACCELERATOR_2_CLOCK,UNROLL_FACTOR_VER,ACCELERATOR_2_UNCERTAINTY,ACCELERATOR_1_CLOCK,UNROLL_FACTOR_HOR,state,time
73,10,1,9,17.92186727828181,0,0,1,75.5096751397498,3,1,ERROR,inf
74,9,1,11,24.099106183794095,1,0,1,86.83225096722957,1,1,OK,810366.0
75,9,1,7,24.099106183794095,1,0,1,77.24702588238095,1,1,OK,517490.0
76,9,1,9,24.099106183794095,1,0,1,75.41027404698808,1,1,OK,664038.0
77,9,1,9,24.099106183794095,3,0,1,90.93660408985784,1,1,ERROR,inf
78,13,1,9,21.472209812266428,1,0,1,81.80257326821854,0,1,ERROR,inf
79,14,1,9,27.066963647674736,3,0,1,77.24702588238095,1,1,ERROR,inf
80,5,1,12,30.154142179926247,3,0,1,82.06044192325254,1,1,ERROR,inf
96,12,1,5,28.744795095284292,1,2,1,77.24702588238095,1,1,OK,615120.0
82,9,1,5,48.33116701824225,0,0,1,77.24702588238095,1,1,ERROR,inf
83,12,1,5,28.744795095284292,0,0,1,77.24702588238095,1,1,ERROR,inf
84,12,1,5,28.744795095284292,0,3,1,77.24702588238095,3,1,ERROR,inf
85,12,1,5,27.82653568547766,1,3,1,73.38659673484051,1,1,ERROR,inf
86,9,1,5,28.744795095284292,2,0,1,82.68267476292819,3,1,ERROR,inf
87,12,1,8,28.744795095284292,1,0,1,77.24702588238095,1,1,OK,590686.0
88,12,1,5,35.78012498264365,1,1,1,89.3184879369207,1,1,OK,432270.0
89,14,1,5,28.744795095284292,1,0,1,77.24702588238095,1,1,OK,371102.0
90,12,1,3,28.744795095284292,1,0,1,77.24702588238095,1,1,OK,224780.0
91,12,1,5,28.744795095284292,3,2,1,86.60147920640637,1,1,ERROR,inf
92,12,1,7,28.744795095284292,1,0,1,77.24702588238095,1,1,OK,517594.0
93,9,1,5,28.744795095284292,0,0,1,77.24702588238095,1,1,ERROR,inf
94,12,2,5,28.744795095284292,1,0,1,77.24702588238095,1,1,OK,371182.0
95,12,1,5,28.744795095284292,1,3,1,80.21490343188933,1,1,OK,310282.0
97,2,8,2,100.0,1,3,2,35.52323018573276,0,2,ERROR,inf
98,12,1,3,28.744795095284292,2,0,2,77.24702588238095,0,1,ERROR,inf
99,13,1,3,26.988117738415017,1,1,1,88.36572013506078,1,1,OK,261392.0
100,12,1,3,28.744795095284292,3,0,1,81.02730801667472,3,1,ERROR,inf
101,12,1,3,18.385139491737224,1,0,1,77.24702588238095,3,1,ERROR,inf
102,12,1,3,32.32306770173601,1,0,1,77.24702588238095,0,1,ERROR,inf
103,12,1,3,46.039997329476826,3,0,1,69.53763528728777,0,1,ERROR,inf
104,10,1,3,41.70382084941701,2,0,1,77.24702588238095,1,1,ERROR,inf
105,12,1,3,31.997405620089076,3,3,1,62.279820116555776,3,1,ERROR,inf
106,12,1,3,36.93685368947549,1,2,1,97.45661545061954,1,1,OK,371232.0
107,12,1,3,28.744795095284292,1,2,1,77.24702588238095,1,1,OK,371284.0
108,12,1,3,25.948924582473566,2,0,1,61.6939314245539,1,1,ERROR,inf
109,12,1,5,28.744795095284292,0,3,1,95.20565479241195,1,1,ERROR,inf
110,11,1,3,28.744795095284292,1,1,1,77.24702588238095,1,1,OK,261576.0
111,12,1,2,16.047415853968182,3,0,1,66.27334772489829,2,1,ERROR,inf
112,12,1,3,28.744795095284292,0,0,1,77.24702588238095,1,1,ERROR,inf
113,2,6,2,74.88345874414789,0,3,2,44.78806299371984,0,2,ERROR,inf
114,2,6,1,50.91226333208924,0,1,2,66.4130834312968,1,2,ERROR,inf
115,4,3,1,39.95868041599033,0,2,2,67.71234558053163,3,2,ERROR,inf
116,10,13,1,11.17514258002944,3,0,2,54.605025121336666,2,1,ERROR,inf
117,1,16,2,64.78814781786977,0,2,2,87.53962978024495,2,1,ERROR,inf
118,1,2,12,46.75741810324542,1,3,1,77.38319656392008,2,2,ERROR,inf
119,7,4,12,46.80259090617608,0,2,1,68.61466436040314,3,1,ERROR,inf
120,1,1,4,57.39540806383354,2,0,1,32.50258284410295,3,1,ERROR,inf
121,7,6,2,56.40431064682255,3,0,2,37.47554298288891,3,1,ERROR,inf
122,2,5,5,22.421657583024512,3,2,1,5.954997211627111,1,2,ERROR,inf
123,3,2,6,16.387489598782267,2,2,2,31.501082837927065,2,1,OK,616000.0
