id,PIPELINE_II_SUB,KERNEL_CLOCK,UNROLL_FACTOR_EXP1,UNROLL_FACTOR_EXP2,UNROLL_FACTOR_ECB1,UNROLL_FACTOR_ECB3,UNROLL_FACTOR_ECB2,PIPELINE_II_ADDKEY,PIPELINE_II_ECB1,PIPELINE_II_ECB2,PIPELINE_II_ECB3,PIPELINE_II_EXP1,PIPELINE_II_EXP2,PIPELINE_EXP2,PIPELINE_EXP1,UNROLL_FACTOR_ADDKEY,UNROLL_FACTOR_SUB,UNROLL_FACTOR_MIX,PIPELINE_SUB,PIPELINE_II_CPKEY,PIPELINE_II_MIX,PIPELINE_ECB2,PIPELINE_ECB3,PIPELINE_ECB1,PIPELINE_ADDKEY,DATA_MOVER_CLOCK,UNROLL_FACTOR_CPKEY,PIPELINE_MIX,PIPELINE_CPKEY,state,presynth_time,synth_time,impl_time,run_time
35,4,0,3,3,28,4,1,12,3,5,13,1,2,False,False,12,8,1,True,12,4,True,True,False,False,3,14,True,True,STO,460.14,inf,inf,inf
36,4,2,3,1,3,3,4,13,25,3,12,1,3,False,True,15,5,1,True,11,3,True,False,True,False,2,10,True,True,OK,408.46,1172.29,469.61,597946.0
37,1,1,1,3,26,9,5,14,6,8,10,2,3,False,True,2,15,4,True,11,4,False,False,True,False,3,7,True,False,TIMING,405.11,1176.02,inf,inf
38,6,0,1,2,11,13,1,9,32,5,3,1,2,False,False,12,3,2,True,1,4,True,False,True,False,1,10,False,True,TIMING,404.21,1148.38,inf,inf
39,9,1,1,1,32,2,6,14,15,1,5,2,1,True,True,13,1,4,False,11,3,False,True,True,False,1,1,True,True,STO,454.19,inf,inf,inf
40,14,1,2,3,3,7,6,14,28,2,5,3,3,True,True,4,7,4,True,12,1,False,True,False,True,2,5,True,True,PTO,inf,inf,inf,inf
41,1,1,1,2,24,3,6,14,7,5,4,1,1,True,True,2,2,2,False,8,1,True,True,False,True,2,10,False,True,STO,450.37,inf,inf,inf
42,8,3,3,1,23,2,3,14,5,3,11,1,1,True,False,6,13,1,False,10,3,True,False,True,True,0,9,True,False,TIMING,413.28,1189.63,inf,inf
43,14,0,1,1,3,3,5,1,24,8,5,2,1,True,True,5,7,4,True,1,4,False,False,True,False,0,5,False,True,TIMING,418.06,1056.91,inf,inf
44,14,1,3,3,8,4,7,5,5,6,5,1,1,False,True,2,14,3,True,3,4,False,True,False,False,2,16,False,True,STO,456.33,inf,inf,inf
45,15,1,2,3,24,12,3,15,20,5,10,2,1,True,True,14,5,2,False,8,4,False,False,False,True,2,6,False,False,TIMING,398.01,1072.21,inf,inf
46,8,0,2,2,20,5,3,16,16,5,6,3,3,False,False,13,15,3,False,9,3,True,True,True,False,1,1,False,False,STO,473.82,inf,inf,inf
47,11,3,3,2,6,6,7,6,28,7,5,3,2,False,True,3,5,2,False,7,3,True,True,False,True,3,10,True,True,STO,474.57,inf,inf,inf
48,11,1,2,3,28,6,2,9,9,4,1,3,1,True,True,7,1,4,False,3,3,True,True,True,True,3,7,True,False,STO,484.1,inf,inf,inf
49,7,0,3,1,22,5,1,7,10,2,6,3,3,False,False,16,4,3,True,9,3,True,False,False,False,3,15,True,True,TIMING,393.4,1223.07,inf,inf
50,15,2,2,3,21,11,6,11,19,7,10,1,2,False,False,15,8,4,True,3,4,False,True,False,False,2,14,True,False,STO,496.31,inf,inf,inf
51,3,2,3,3,8,7,6,13,4,4,6,2,3,False,False,15,16,3,False,11,4,False,False,False,False,2,9,True,False,OK,438.95,1090.77,495.43,602380.0
52,11,0,3,2,12,1,8,8,9,6,12,1,1,True,True,15,12,2,False,12,3,False,False,False,False,1,15,True,True,TIMING,434.6,1137.98,inf,inf
53,1,1,3,2,30,5,6,15,25,8,6,3,2,False,True,15,8,3,False,1,1,True,False,True,False,1,10,True,False,TIMING,427.78,1188.68,inf,inf
54,7,2,1,3,20,13,2,1,28,8,8,1,3,False,False,15,9,2,False,4,3,True,False,False,True,1,15,False,False,TIMING,428.94,1190.19,inf,inf
