318, 1561, 426, 0
275, 753, 420, 0
327, 775, 423, 0
291, 776, 364, 0
319, 1556, 420, 0
304, 1499, 417, 0
378, 1475, 471, 0
374, 1457, 410, 0
332, 763, 532, 0
306, 1489, 394, 0
277, 798, 409, 0
319, 1588, 432, 0
374, 1472, 458, 0
268, 732, 514, 0
332, 775, 444, 0
322, 731, 429, 0
305, 1508, 485, 0
310, 1403, 431, 0
328, 725, 418, 0
337, 1471, 462, 0
273, 759, 462, 0
345, 1545, 435, 0
274, 808, 379, 0
330, 1419, 429, 0
323, 1528, 411, 0
306, 1683, 507, 0
334, 1470, 405, 0
348, 1453, 416, 0
347, 1493, 406, 0
337, 706, 308, 0
336, 840, 353, 0
337, 739, 489, 0
313, 1536, 445, 0
335, 799, 383, 0
340, 1441, 449, 0
313, 1497, 465, 0
339, 1497, 480, 0
334, 708, 395, 0
334, 731, 412, 0
340, 1460, 439, 0
338, 774, 469, 0
342, 718, 259, 300
344, 1426, 469, 0
340, 734, 395, 0
343, 735, 360, 0
341, 736, 379, 0
343, 760, 399, 0
347, 1643, 456, 0
361, 1486, 450, 0
324, 1600, 425, 0
368, 1448, 445, 0
327, 1485, 414, 0
323, 763, 288, 0
327, 713, 406, 0
323, 785, 425, 0
328, 696, 442, 0
328, 798, 469, 0
322, 799, 340, 18
329, 802, 436, 0
329, 815, 334, 0
347, 1512, 385, 0
330, 746, 395, 0
328, 759, 393, 0
328, 796, 446, 0
331, 807, 434, 0
333, 1477, 436, 0
347, 1505, 571, 0
333, 1469, 541, 0
333, 770, 568, 0
334, 764, 370, 18
354, 761, 294, 17
334, 773, 374, 17
334, 1436, 484, 0
354, 757, 655, 0
342, 766, 404, 0
355, 791, 434, 0
352, 779, 333, 17
366, 1491, 446, 0
336, 752, 359, 17
334, 784, 419, 0
340, 781, 407, 0
288, 754, 400, 0
341, 799, 343, 17
340, 1483, 450, 0
344, 738, 418, 0
339, 764, 328, 17
343, 828, 344, 0
339, 1495, 381, 0
340, 788, 413, 0
344, 758, 371, 17
341, 1463, 395, 0
348, 793, 315, 16
348, 762, 331, 17
348, 752, 376, 0
344, 1657, 389, 0
347, 772, 637, 0
305, 762, 414, 0
329, 1414, 381, 0
347, 1531, 437, 0
287, 779, 339, 19
310, 764, 394, 0
347, 1363, 466, 0
309, 767, 423, 0
323, 793, 333, 17
287, 799, 444, 0
323, 795, 399, 0
350, 1474, 403, 0
322, 772, 327, 17
352, 1504, 636, 0
322, 800, 364, 16
326, 1446, 407, 0
326, 1489, 466, 0
