id,PIPELINE_II_SUB,KERNEL_CLOCK,UNROLL_FACTOR_EXP1,UNROLL_FACTOR_EXP2,UNROLL_FACTOR_ECB1,UNROLL_FACTOR_ECB3,UNROLL_FACTOR_ECB2,PIPELINE_II_ADDKEY,PIPELINE_II_ECB1,PIPELINE_II_ECB2,PIPELINE_II_ECB3,PIPELINE_II_EXP1,PIPELINE_II_EXP2,PIPELINE_EXP2,PIPELINE_EXP1,UNROLL_FACTOR_ADDKEY,UNROLL_FACTOR_SUB,UNROLL_FACTOR_MIX,PIPELINE_SUB,PIPELINE_II_CPKEY,PIPELINE_II_MIX,PIPELINE_ECB2,PIPELINE_ECB3,PIPELINE_ECB1,PIPELINE_ADDKEY,DATA_MOVER_CLOCK,UNROLL_FACTOR_CPKEY,PIPELINE_MIX,PIPELINE_CPKEY,state,presynth_time,synth_time,impl_time,run_time
1,14,1,1,1,1,7,7,5,8,7,1,3,1,False,False,5,9,2,False,6,2,True,True,True,True,0,12,True,False,TIMING,406.72,1708.49,inf,inf
2,1,0,3,2,31,4,8,9,7,8,12,2,2,False,True,9,7,3,False,15,2,False,True,True,True,3,3,False,True,TIMING,396.84,1790.83,inf,inf
3,10,1,1,2,18,12,8,1,15,4,9,1,1,True,True,1,15,2,False,8,4,True,False,True,False,1,1,False,False,OK,385.29,907.58,404.02,449998.0
4,15,2,2,3,32,9,3,8,17,8,11,3,2,False,False,2,2,3,True,5,2,False,True,True,True,2,3,False,False,RTO,368.64,841.93,282.73,inf
5,5,2,2,2,19,5,7,4,26,5,4,1,2,False,True,5,14,2,True,10,2,True,False,True,False,0,11,True,False,TIMING,372.58,959.89,inf,inf
6,5,1,1,3,30,7,2,13,18,1,4,1,1,True,False,8,2,2,False,12,4,True,True,True,False,3,16,True,True,TIMING,430.41,1731.41,inf,inf
7,1,0,2,2,20,1,7,4,23,3,5,3,1,False,True,14,14,2,False,10,1,True,False,False,True,0,16,True,True,TIMING,373.61,899.69,inf,inf
8,12,2,2,2,30,12,8,8,26,3,11,3,1,True,True,3,13,2,True,11,2,True,False,True,False,0,1,True,True,TIMING,349.52,984.45,inf,inf
9,13,0,1,3,18,5,6,16,4,2,5,3,2,False,False,11,1,1,True,4,1,False,True,True,True,0,12,True,False,TIMING,440.73,1717.54,inf,inf
10,6,3,2,3,16,1,5,6,4,1,7,1,3,False,False,16,6,3,True,14,4,True,False,True,False,1,4,True,False,TIMING,350.2,964.57,inf,inf
11,6,3,3,2,27,8,5,11,6,1,11,3,3,True,False,3,5,2,False,4,4,True,True,True,False,1,3,True,False,TIMING,393.13,1690.13,inf,inf
12,12,3,3,2,12,12,8,8,30,4,10,2,1,False,False,1,10,3,True,14,4,True,True,True,False,3,7,True,False,TIMING,430.63,1771.01,inf,inf
13,6,2,1,1,9,3,7,4,24,1,12,2,2,True,False,15,14,4,False,3,2,False,True,True,True,3,12,False,False,TIMING,406.29,1569.96,inf,inf
14,7,0,3,3,11,7,8,6,12,3,13,1,2,True,True,5,12,1,False,14,2,True,False,False,False,2,16,False,False,TIMING,349.24,1019.1,inf,inf
