id,DATA_MOVER_SHARING,CONVOLVERS,KERNEL_CLOCK,IMPL_STRATEGY,DATA_MOVER_CLOCK,CLOCK_UNCERTAINTY,state,presynth_time,synth_time,impl_time,run_time
1084,3,2,1,25,1,59.05326059730628,TIMING,624.77,617.63,inf,inf
1085,1,2,2,9,2,20.095497637463936,OK,646.65,651.17,286.7,1383670760.0
1086,2,1,2,7,2,53.207030796305155,OK,528.11,657.66,289.02,2004964712.0
1087,2,1,2,13,2,13.600520132038119,OK,556.34,662.93,283.77,1917250166.0
1088,2,1,1,25,1,56.206269592771655,OK,527.84,624.4,305.4,1644723468.0
1089,2,1,1,21,1,63.2882561976566,OK,543.92,604.76,308.52,1721297472.0
1090,3,2,2,20,2,17.840852304193454,OK,635.27,689.3,299.48,1383682772.0
1091,1,2,2,15,2,70.07161563527882,OK,624.56,630.2,317.61,1499824850.0
1092,0,1,1,6,1,73.18702329195375,TIMING,543.18,649.72,inf,inf
1093,0,2,2,27,2,81.01522011947085,OK,655.31,633.14,356.36,1674050466.0
1094,1,1,2,17,2,30.31499794324778,OK,552.33,674.29,292.17,1938333236.0
1095,0,2,2,7,2,60.37635670194066,OK,638.77,611.74,327.85,1473237436.0
1096,2,1,1,12,1,53.40148678848301,OK,552.93,633.51,313.34,1645984232.0
1097,0,2,2,7,2,28.312588557705425,OK,632.13,634.22,313.3,1393678348.0
1098,3,1,1,9,1,69.9468189153185,OK,533.61,652.17,326.41,1742830864.0
1099,1,1,2,26,2,19.771995679697895,OK,537.72,669.13,273.0,1917857614.0
1100,2,2,1,11,1,52.782802287509924,OK,624.73,643.36,334.41,1224056838.0
1101,1,2,2,13,2,97.17878473154103,OK,626.2,641.76,367.95,1870572134.0
1102,3,1,1,5,1,52.950594985578526,OK,540.14,660.3,307.69,1646019068.0
1103,2,1,1,3,1,100.0,OK,534.64,674.24,313.77,1674881144.0
1104,0,1,2,2,2,31.46793892982618,OK,538.69,653.34,293.06,1938245566.0
1105,1,1,2,19,2,66.1117067564451,OK,530.55,648.13,277.0,2106100136.0
1106,1,1,2,12,2,91.2294017140664,OK,534.31,650.84,322.58,2564829534.0
1107,2,2,2,13,2,21.774086992137136,OK,630.69,622.66,300.59,1383699464.0
1108,1,1,1,22,1,62.84098241141699,OK,536.99,662.43,313.3,1721428018.0
1109,0,2,2,1,2,43.71176411109891,OK,619.6,647.8,297.16,1406927778.0
1110,1,1,2,14,2,43.51903033351989,OK,541.27,630.93,289.06,1962408746.0
1111,1,1,1,9,1,100.0,OK,532.17,657.97,333.31,1674932414.0
1112,0,1,1,4,1,20.56098218985769,OK,540.31,667.13,333.83,1549568706.0
1113,2,1,2,11,2,12.166291564925501,OK,570.71,626.42,276.65,1897332666.0
1114,1,1,1,15,1,39.95818012219695,TIMING,571.31,677.82,inf,inf
1115,1,2,2,9,2,17.808268320207777,OK,632.08,615.98,291.86,1383812844.0
1116,3,2,2,8,2,22.008365405720554,OK,628.55,610.81,303.98,1383680876.0
1117,3,2,1,14,1,57.166087682554966,OK,633.45,658.25,363.3,1224161712.0
1118,2,1,2,14,2,58.922441245593596,OK,557.15,637.45,286.46,2074665078.0
1119,1,1,2,9,2,20.109275581505294,OK,558.4,637.11,286.84,1917795942.0
1120,1,2,2,9,2,76.76172043806854,OK,631.31,661.92,323.24,1573695436.0
1121,3,2,2,23,2,43.72849900030682,OK,627.7,683.02,287.66,1406844086.0
1122,0,1,2,7,2,46.42746667865424,OK,544.08,651.86,273.45,1963405164.0
1123,1,1,1,12,1,64.97113719344397,OK,551.07,602.46,303.27,1737286538.0
1124,0,1,1,4,1,21.926134560523238,OK,524.09,631.13,317.41,1549565452.0
1125,3,1,1,23,1,58.59703831358553,OK,540.19,663.5,343.15,1660817790.0
1126,2,1,1,14,1,52.90441783712716,OK,522.44,645.25,306.88,1646010118.0
1127,2,2,2,12,2,35.187961756941824,OK,632.62,661.0,309.05,1394852772.0
1128,2,1,2,22,2,49.8322537273053,OK,541.42,670.41,262.15,2004034334.0
1129,1,1,2,27,2,18.598111468666435,OK,556.23,650.92,276.45,1917845276.0
1130,3,2,2,6,2,62.21879390624997,OK,652.22,649.04,311.75,1483777002.0
1131,2,1,1,6,1,62.55642783825203,OK,533.99,639.01,309.29,1721409234.0
1132,3,1,2,8,2,23.11512765698508,OK,556.41,634.89,288.71,1917844930.0
